ID_Vendita,Filiale,Cliente,Data_Vendita,Importo,Metodo_Pagamento,Data_Incasso,Importo_Incassato,Differenza_Importo,Note,Categoria
FIR0001,firenze,agnolo mercadante,2024-06-24,2919.81,Paypal,,,,Vendita senza incasso corrispondente,Vendite senza incasso
FIR0008,firenze,paloma mancini,,577.79,Contanti,,,,Vendita senza incasso corrispondente,Vendite senza incasso
FIR0015,firenze,annalisatuzzolino,2024-05-04,1261.56,Paypal,,,,Vendita senza incasso corrispondente,Vendite senza incasso
FIR0022,firenze,giosue tamborini,2024-09-26,2270.22,Contanti,,,,Vendita senza incasso corrispondente,Vendite senza incasso
FIR0029,firenze,luciana valentino,2024-01-14,1597.32,Assegno,,,,Vendita senza incasso corrispondente,Vendite senza incasso
FIR0036,firenze,enziopetrucelli,2024-05-23,1682.18,Paypal,,,,Vendita senza incasso corrispondente,Vendite senza incasso
FIR0043,firenze,achille munari,2024-07-26,2875.28,Assegno,,,,Vendita senza incasso corrispondente,Vendite senza incasso
FIR0050,firenze,lauretta ferraris,2024-10-06,1585.62,Contanti,,,,Vendita senza incasso corrispondente,Vendite senza incasso
FIR0057,firenze,antonietta mancini,,2878.49,Paypal,,,,Vendita senza incasso corrispondente,Vendite senza incasso
FIR0064,firenze,dott. tina montesano,,2157.43,Paypal,,,,Vendita senza incasso corrispondente,Vendite senza incasso
FIR0071,firenze,dott. elvira ferragamo,2024-09-03,254.11,Paypal,,,,Vendita senza incasso corrispondente,Vendite senza incasso
FIR0078,firenze,dott. alfredo boezio,2024-05-14,78.07,Contanti,,,,Vendita senza incasso corrispondente,Vendite senza incasso
FIR0085,firenze,veronicapennetta,2024-04-19,2648.17,Carta,,,,Vendita senza incasso corrispondente,Vendite senza incasso
MIL0005,milano,sophia ligorio-calbo,2024-05-09,1273.71,Paypal,,,,Vendita senza incasso corrispondente,Vendite senza incasso
